,M_t,G_t,TB_t,PROFIT_t,r_t,DSR_t,TCCSLOAN_t,PIE_t,Y_t,pi_t,CS_t
2017-09-30,1.061891803457904,1.3831989238880738,-42279.0,2.0411592101549303,1.15,11.818405,3758883.14,1.64,0.785431525684821,0.4769045852770937,2.09
2017-12-31,1.1107951894492984,1.5487865054851113,-44949.0,-10.026494720560652,1.2,11.816674,3814644.72,1.75,1.1207427769393874,0.7922481923350766,1.8999999999999995
2018-03-31,0.7387607339710556,1.7919745327208858,-46407.0,6.344851834614218,1.45,11.644543,3862551.42,1.97,0.8101194549169577,0.8393798275407427,1.71
2018-06-30,0.8936034985993047,1.2490046336047556,-44290.0,3.767998907444703,1.74,11.598347,3895501.03,2.07,0.5294212303768475,0.5428002471180804,1.8600000000000003
2018-09-30,0.9773518119626345,1.3036532576867543,-49702.0,-2.4003826587726707,1.92,11.619544,3942751.0,2.01,0.621760482522582,0.40090426233669874,1.8899999999999997
2018-12-31,0.742187478363121,1.7831634550933728,-52100.0,0.0800435741772354,2.22,11.666352,3991672.88,1.82,0.14154399831838305,0.40642645017046064,2.0999999999999996
2019-03-31,1.3169652478724814,2.0383397818116933,-48170.0,1.4371234108481623,2.4,11.499875,4039594.47,1.73,0.6223772907267389,0.26674744179171483,2.32
2019-06-30,1.2009806982677063,0.9965754577430985,-49840.0,0.6895987597179243,2.4,11.626957,4081964.76,1.7,0.8316777932895647,0.7317686050559047,2.26
2019-09-30,1.8947408910133134,0.8060018699685756,-47171.0,1.374625071739466,2.19,11.646529,4132786.21,1.45,1.1632102580909631,0.3293336518578549,2.2300000000000004
2019-12-31,2.1462196969338265,0.4808180855928157,-41243.0,1.5743829154631683,1.64,11.727526,4173498.94,1.52,0.6795635968053659,0.7000341830969425,2.12
2020-03-31,2.342688638296231,1.4560900927376608,-41956.0,-5.693470185824889,1.26,11.587379,4176212.2,1.28,-1.3250619707966038,0.35997298434669034,2.54
2020-06-30,12.276107465685726,60.268121339210445,-51681.0,-7.525067799822782,0.06,9.739372,4099826.24,0.85,-8.204320604026982,-0.9807692524462119,3.21
2020-09-30,4.174558705508957,-21.46026292651726,-59242.0,31.886540879154435,0.09,10.067065,4120533.8,1.46,7.4757496362447995,1.136741795841445,2.67
2020-12-31,2.8626361709612524,-19.073410421156645,-62468.0,-5.089667407646825,0.09,10.404484,4139796.55,1.69,1.127138965704333,0.7187998214476465,2.44
2021-03-31,3.314664472287987,34.207250124512534,-64705.0,9.945121400401113,0.08,9.084982,4175294.1,2.32,1.386164653473898,0.988616568259193,2.1500000000000004
2021-06-30,3.8149118515711677,-7.3566496342385435,-67360.0,10.634534548554075,0.07,9.889169,4278851.58,2.54,1.6875713541763204,1.838981983644139,1.9599999999999997
2021-09-30,2.191963098808536,-13.197393675634395,-72138.0,-0.39928830558029205,0.09,10.057423,4425790.56,2.5,0.8216679141918704,1.5905304402530795,1.9200000000000002
2021-12-31,2.392554052392093,-8.529567154561235,-74889.0,-0.7227817115709634,0.08,10.281331,4488700.33,2.82,1.701202308971439,2.1149980272061164,1.78
2022-03-31,1.6503222760245961,-3.8752618048883747,-89227.0,-0.8368138620372001,0.12,10.512948,4561966.73,3.05,-0.2551237912953752,2.1741066846604262,2.0200000000000005
2022-06-30,0.1383795972564883,1.272271473154163,-81607.0,7.567650218508426,0.77,10.719184,4665329.33,3.07,0.1564245950852694,2.361270928690118,2.0899999999999994
2022-09-30,-0.48377912638883913,1.6162641049390913,-67712.0,-3.3734901868946565,2.19,10.598597,4750922.0,2.58,0.719306332529257,1.3138027276602848,2.2499999999999996
2022-12-31,-1.1928311483563547,2.234263377881973,-69364.0,-5.389927425828311,3.65,10.78019,4836549.82,2.41,0.6878691350323152,1.0067323404976847,2.1399999999999997
2023-03-31,-1.1560059336662931,1.8077741730667896,-65530.0,8.475231786704462,4.52,10.635346,4889548.13,2.35,0.7212436699248315,0.8984702505331121,1.9600000000000004
2023-06-30,-1.5165198258632273,0.8989718574165195,-67362.0,0.8908940019365374,4.99,10.675248,4933130.83,2.2,0.6259090548015322,0.738323213161518,2.0900000000000003
2023-09-30,-0.1189854106277366,1.0258526301171855,-60830.0,3.567792011470594,5.26,10.86617,4953168.33,2.23,1.1470027396091709,0.8591180156096279,1.8199999999999994
2023-12-31,-0.24806004766695366,1.655665882886126,-64347.0,1.9061139994661858,5.33,11.230811,4981012.38,2.23,0.8405149026469161,0.6890291017955796,1.75
2024-03-31,0.7217154058695385,2.6343345777403826,-66591.0,1.1458808069587434,5.33,11.160293,5010322.95,2.31,0.20964144146446984,0.9096668944573061,1.5700000000000003
2024-06-30,0.6951079011868089,1.5637546783329626,-73819.0,2.204051957783193,5.33,11.159186,5023435.15,2.34,0.8815888542736516,0.6800545381379308,1.4799999999999995
2024-09-30,0.8562406888573904,2.998053672064671,-77117.0,-0.7153517132048037,5.26,11.31315,5051701.51,2.04,0.8213953149049047,0.34657659129182505,1.6799999999999997
2024-12-31,0.9837662856893914,1.137834395276549,-83650.0,6.884826147637746,4.65,11.286829,5025520.66,2.32,0.45882049283303417,0.7470838049171036,1.4500000000000002
2025-03-31,0.8587821263605022,0.9056284301335538,-128499.0,-10.077357080038496,4.33,11.257759,4980336.86,2.54,-0.16264860564216832,0.9285777638728732,1.5300000000000002
2025-06-30,1.3001376373351192,2.4679549632519837,-63464.0,0.60125617551261,4.33,11.249194,5043225.78,2.35,0.9415531607956495,0.4085641611884405,1.8499999999999996
